title,author_name,author-id,year,slug,track
Tradition vs. Accuracy in Bible Translation: A Critical Examination,Joshy Abraham,joshy-abraham,2025,2025-31588520,"Theology, Hermeneutics, and Exegesis"
Preserving Textual Plurality: The Ethics of the Septuagint Translators and Modern Bible Translation,B. Christopher Adams,b-christopher-adams,2025,2025-31588545,"Theology, Hermeneutics, and Exegesis"
"Providing Implicit Information in a Translation, With Particular Focus on Oral Bible Translations",Swapna Anna Alexander,swapna-anna-alexander,2025,2025-31588477,"Communication and Context|Methodologies, Media, and Multimodality|Live Only"
Communicating or Confusing: The Ethical Implications of Archaic and Unclear Translations,Rev. G. B. Amar,gb-amar,2025,2025-31588551,"Church and Community|Communication and Context|Theology, Hermeneutics, and Exegesis"
CANCELED Bridging Literacy and Faith Through Bible Translation,Amitha Behara Anam,behara-amitha-anam,2025,2025-32030048,
"The Sequence of Bible Translation: Scripture use in Sulawesi, Indonesia",Stan Anonby & Dave Eberhard,stan-anonby-dave-eberhard,2025,2025-31588440,Church and Community
Ethical Stances of Fraternal Partnership: The Ethiopian Comprehensive Plan for Bible Translation,Tesfaye Yacob Baffa,tesfaye-yacob-baffa,2025,2025-31588575,Church and Community|Communication and Context|Training and Mentoring
Translation Ethics of the Bible Society of Nigeria: A Critical Examination,Olalekan Bamidele,olalekan-bamidele,2025,2025-31588444,Church and Community
Addressing Ethical Issues in Bible Translation and Technology from a Nigerian Perspective,Oluwapelumi Bankole,oluwapelumni-bankole,2025,2025-31588510,"Church and Community|Technology and Resources|Theology, Hermeneutics, and Exegesis"
The Referent of ‘The Elements of the World’ in Galatians 4:1–11,Benjamin,benjamin-pearce,2025,2025-31588544,"Theology, Hermeneutics, and Exegesis|Remote Presenter"
A Tale of Two Proposals: How Effective is Enforcing Process in Translation?,Todd Bequette & Becky Bequette,todd-becky-bequette,2025,2025-31588470,"Methodologies, Media, and Multimodality"
"The Paraphrase: Where Ethics Meets Form, Theory, and Audience",Dr. Freddy Boswell,freddy-boswell,2025,2025-31588459,Communication and Context
(ONSITE ONLY) Banquet Address: The Inspiration of Eugene Peterson,Dr. Freddy Boswell,freddy-boswell,2025,2025-31944210,Plenary|Live Only
Neurodiversity and Bible Translation: Do Autistics Need Their Own Versions?,Peter Brassington,peter-brassington,2025,2025-31588448,Church and Community|Communication and Context|Neurodiversity
Bible Translation is More Than a Linguistic Task: Prioritising Community Ownership and Impact,Jennifer Brassington,jennifer-brassington,2025,2025-31588449,Church and Community|Communication and Context
Toward Resolving Ethical Dilemmas in the Construal of Divine Revelation,Joel S. Brown,joel-brown,2025,2025-31588541,"Theology, Hermeneutics, and Exegesis"
Translating Passages on Which the Historic Doctrine of the Trinity Is Based,Richard Brown,richard-brown,2025,2025-31588533,"Theology, Hermeneutics, and Exegesis"
A Framework for Understanding and Implementing AI Ethically in Bible Translation,Joe Burgin,joe-burgin,2025,2025-31588507,"Methodologies, Media, and Multimodality|Technology and Resources|Remote Presenter"
Empowering Local Bible Translation: A Case Study of Training Sudanese Translators,"Connie Champeon, et al",connie-champeon,2025,2025-31588584,"Methodologies, Media, and Multimodality|Theology, Hermeneutics, and Exegesis|Training and Mentoring|Live Only"
Factors Affecting Transparency and Accountability of Translation Work in India,Chris,chris,2025,2025-31588481,"Communication and Context|Methodologies, Media, and Multimodality"
Multi-Modal Translation in Muslim Communities in the Russian Federation,Bronwen Cleaver,bronwen-cleaver,2025,2025-31588464,"Methodologies, Media, and Multimodality"
Bridging Cultures: Challenges and Strategies for Rendering Biblical Names in Philippine Languages,Levi Cruz,levi-cruz,2025,2025-31588471,"Methodologies, Media, and Multimodality|Live Only"
Word Made Flesh: Views of Translation through the Lens of the Lord’s Supper,James Cuénod,james-cuenod,2025,2025-31588526,"Theology, Hermeneutics, and Exegesis"
Is the Holy Ghost in the Machine? Ethical Considerations for Using AI in Bible Translation,"Damien Daspit, et al - Part of AI Panel",damien-daspit,2025,2025-31588494,Technology and Resources|AI Panel
"BEEKMAN LECTURE 1: Sacred Text, Human Choices: An Ethics of Difference for Bible Translation ",Prof. dr. Matthijs J. de Jong,matthijs-de-jong,2025,2025-31928407,Plenary
The Greek New Testament by Biblica: An Introduction,Johan de Joode,johan-de-joode,2025,2025-31588511,"Church and Community|Technology and Resources|Theology, Hermeneutics, and Exegesis|Live Only"
Ethics of Using Tools That Focus on Community Engagement in Bible Translation,"Ken Decker, Maik Gibson",ken-decker-maik-gibson,2025,2025-31588445,Church and Community
Bible Translation and Literacy: Can We Ethically Deprioritize the Latter?,"Diane Dekker, Kristine Trammell",diane-dekker-kristine-trammell,2025,2025-31588573,Church and Community|Communication and Context|Training and Mentoring
Multi-Modal Methods in Psalms-Study: An Initial Attempt to Include Different Processing Styles,June Dickie & Mainor Mora Rodriguez,mainor-mora-rodriguez-june-dickie,2025,2025-31588476,"Church and Community|Communication and Context|Methodologies, Media, and Multimodality|Neurodiversity"
"Translating Psalms in a Culturally-Sensitive (Ethical) Way, With a Particular Focus on Rhythm",June Dickie,june-dickie,2025,2025-31588479,"Communication and Context|Methodologies, Media, and Multimodality"
What a Friend and Lord We Have in Jesus: Challenging the Common View of Divine Friendship,S.E. Doi,se-doi,2025,2025-31588542,"Theology, Hermeneutics, and Exegesis|Remote Presenter|Live Only"
The Advantages of Having a Translation Advisor Embedded in a Translation Project,Stephen Doty & Douglas Inglis,stephen-doty-douglas-ingles,2025,2025-31588466,"Methodologies, Media, and Multimodality|Remote Presenter"
A Study of Equivalence in Methods of Using AI-Generated Drafts in Bible Translation,"David Duncan, et al - Part of AI Panel",david-duncan,2025,2025-31588496,Technology and Resources|AI Panel
Ethical Scripture Engagement: Six Questions Towards Good Stewardship,Andreas Ernst,andreas-ernst,2025,2025-31588474,"Church and Community|Communication and Context|Methodologies, Media, and Multimodality|Remote Presenter"
Faith + Virtue: Facilitating Character Formation in Translator Training,Eszter Ernst-Kurdi,eszter-ernst-kurdi,2025,2025-31588568,Training and Mentoring|Remote Presenter
Theologizing Dreams in Genesis 41 in Komba (Likɔɔnl),Michael Ersland,michael-ersland,2025,2025-31588554,"Communication and Context|Theology, Hermeneutics, and Exegesis"
Responding to Language Death: An Emergent Interpretation of the Plant in Jonah 4,Nathan Esala,nathan-esala,2025,2025-31588527,"Theology, Hermeneutics, and Exegesis"
Discourse Analysis Models Compared – a Cognitive Linguistics Perspective,Eric Fields,eric-fields,2025,2025-31588537,"Theology, Hermeneutics, and Exegesis|Remote Presenter"
